epoch,loss,seconds,lr,f1,precision,recall,pr_auc,resource_macro_f1,score
1,0.5041756600141525,18.2582599,0.0001,0.3584756926413042,0.2632647191095474,0.7211101962834348,0.48965082312767005,0.4025996119657367,0.4548303386628967
2,0.3186052999893824,36.386171100000006,0.0001,0.4040981684776339,0.3090634713299584,0.7219065398571153,0.4994259366441221,0.39862612924985885,0.4591060136864168
3,0.2909934685627619,54.5007839,0.0001,0.3721379727828399,0.26736054447286056,0.7616832167572374,0.5001203018140876,0.40442155865809615,0.46184080455169096
4,0.2748606548706691,72.58484999999999,0.0001,0.40037715926120504,0.2915300742878675,0.8033108631926347,0.5260156771900241,0.39487054382304354,0.47355762384323186
5,0.2663295974085728,90.6729233,0.0001,0.43492886195524505,0.35315997091810736,0.6628558157368447,0.44703732217596837,0.40507341645056927,0.4302517598858087
6,0.2616437054673831,108.74289139999999,0.0001,0.4347111396991302,0.3270049491675045,0.7769458079786342,0.4278031246641661,0.40114328047155834,0.417139186987123
7,0.2547702896595001,126.6941131,0.0001,0.42452790336596424,0.3177440421866398,0.7978389446030556,0.4475477300295343,0.4660388244234857,0.4549441677871149
8,0.24904366778830686,144.9006909,0.0001,0.4273349684930236,0.3080016482596385,0.8181585613799705,0.4427391165347166,0.4405616861332391,0.4418681443741256
9,0.24942394644021987,163.0214047,0.0001,0.42261615194799906,0.3149924852033008,0.7326608917369025,0.4069420907642359,0.44003410314999725,0.4201788957185404
10,0.24452082335948944,181.0863866,0.0001,0.42497258450184605,0.31825530356399967,0.7535716060480873,0.42424612444853826,0.3945417989703651,0.412364394257269
11,0.24056128909190497,199.2425034,0.0001,0.4473355940092765,0.3577902191276231,0.6488141278567275,0.41271595125729854,0.397148022274864,0.40648877966432473
12,0.23722743978103003,217.4624555,0.0001,0.34631151134780436,0.2986882268478025,0.46520870661992375,0.39650812969726246,0.47768201151914613,0.42897768242601597
13,0.24052971680959065,235.88449250000002,0.0001,0.4160253989319361,0.299805351860166,0.8035022617539322,0.42994447977376377,0.4672748073613085,0.44487661080878166
14,0.23763575845708448,254.0984359,0.0001,0.4583085835863432,0.39532914597625557,0.5889478095348761,0.4605061914668588,0.4714597721013608,0.46488762372065956
15,0.23551996320486068,272.2507177,0.0001,0.4124257198244,0.34810659489262713,0.5408417158572875,0.43283047215752796,0.509744546489888,0.46359610189047196
