epoch,loss,seconds,lr,f1,precision,recall,diagnosis_hr_at_100pct,diagnosis_ndcg_at_100pct,hr_at_100,ndcg_at_100,diagnostic_pair_ndcg_at_100,pr_auc,positive_class_macro_f1,tp,fp,fn,tn,score
1,0.602355714828249,8.5209478,0.0001,0.38060643756632256,0.266008254578574,0.6689404164182761,0.8668753675975637,0.8668753675975637,0.3833333333333333,0.41634491242822547,0.41634491242822547,0.34969314164317566,0.8235242618567208,127.33333333333333,338.3333333333333,58.666666666666664,5875.666666666667,0.7047857242538167
2,0.48748958867693704,17.0489478,0.0001,0.4304396135012564,0.31617911204063215,0.6743845282667634,0.881143464196012,0.881143464196012,0.4766666666666666,0.523920367025986,0.523920367025986,0.41206263067960097,0.8360438856995569,126.33333333333333,268.3333333333333,59.666666666666664,5945.666666666667,0.7309088472977602
3,0.46501551450244966,25.2398892,0.0001,0.43457320119249054,0.3219653432412774,0.6687194030597028,0.8822626744353507,0.8822626744353507,0.48333333333333334,0.5318764414578787,0.5318764414578787,0.4139110577264298,0.8320690351058676,124.0,259.3333333333333,62.0,5954.666666666667,0.7330328500210639
4,0.4479174576108418,33.5750917,0.0001,0.4113971795188161,0.2848014504640485,0.7427946182601636,0.8908306099863061,0.8908306099863061,0.5299999999999999,0.5769974373539452,0.5769974373539452,0.44182408401433443,0.833709106079877,137.66666666666666,340.0,48.333333333333336,5874.0,0.7310194664971427
5,0.42965431913496954,41.772043499999995,0.0001,0.43394937756909524,0.328326624179834,0.640835803741546,0.8918296889603768,0.8918296889603768,0.5,0.5457104602916124,0.5457104602916124,0.44653932786604295,0.8344407053453563,119.0,242.0,67.0,5972.0,0.7392029184966162
6,0.4235809402806418,50.079862399999996,0.0001,0.4310426395050757,0.31859687790305835,0.6689074932918396,0.889634872551115,0.889634872551115,0.5233333333333333,0.5607622340630966,0.5607622340630966,0.4542711090898702,0.8327386548564856,124.33333333333333,260.6666666666667,61.666666666666664,5953.333333333333,0.7367707948691019
7,0.42416659754420083,58.421777299999995,0.0001,0.4726324058020624,0.3633335365773989,0.6774722010853012,0.8872752057636716,0.8872752057636716,0.5433333333333333,0.5754068021513041,0.5754068021513041,0.4823835324790475,0.8452081507791617,125.0,217.0,61.0,5997.0,0.7490609391098019
8,0.41306928746284,66.79603829999999,0.0001,0.4397896524121235,0.31661125570370735,0.7236373493561562,0.8897464355873996,0.8897464355873996,0.5666666666666668,0.6142470652946452,0.6142470652946452,0.49190749698864183,0.8492235651492462,133.33333333333334,284.3333333333333,52.666666666666664,5929.666666666667,0.739760841195641
9,0.40292656516271924,75.04040069999999,0.0001,0.45514653285472106,0.34084132690487784,0.6925480586681897,0.8809138826084553,0.8809138826084553,0.5166666666666666,0.5682766764427517,0.5682766764427517,0.4795322407060432,0.8430619365677582,127.33333333333333,243.0,58.666666666666664,5971.0,0.7389914326905439
10,0.4057417431521037,83.37872709999999,0.0001,0.4307987669405882,0.31168993444596044,0.70519417778277,0.8902842386723612,0.8902842386723612,0.5266666666666667,0.5759841692454245,0.5759841692454245,0.4601702266958791,0.8392582981210172,130.0,283.0,56.0,5931.0,0.7371224147617702
11,0.39097142314154004,91.6170564,0.0001,0.41671661835065504,0.2949602122879987,0.7160802887657489,0.897688244871064,0.897688244871064,0.5066666666666667,0.5604006907161383,0.5604006907161383,0.4597033089177871,0.8587914067982928,132.0,311.3333333333333,54.0,5902.666666666667,0.737364369364261
12,0.38812194599045646,99.8747151,0.0001,0.43924331390444266,0.321495155581964,0.6990592084576166,0.9016963567538244,0.9016963567538244,0.54,0.5935857264759686,0.5935857264759686,0.48312890726154006,0.8519898228782794,129.0,268.3333333333333,57.0,5945.666666666667,0.7475453424706971
13,0.38027380335898625,108.1308911,0.0001,0.43497293329876013,0.3078917917638915,0.7465817167843506,0.896107758742616,0.896107758742616,0.5166666666666666,0.5724288847577835,0.5724288847577835,0.47201796905806487,0.8458713672952792,137.0,304.3333333333333,49.0,5909.666666666667,0.7423961502613307
14,0.3878635243763999,116.5537728,0.0001,0.44473942461307464,0.32991918436007894,0.6893455950558737,0.8968039566907716,0.8968039566907716,0.5233333333333333,0.5841646104047761,0.5841646104047761,0.4937156659214785,0.8618704040449408,127.66666666666667,254.33333333333334,58.333333333333336,5959.666666666667,0.7461157793315393
15,0.3791791153332544,124.98696919999999,0.0001,0.4415738871898694,0.32511521813244854,0.6962414935385577,0.8969920469229083,0.8969920469229083,0.5433333333333333,0.6008400713779936,0.6008400713779936,0.5021839354353659,0.8448332298614692,128.66666666666666,262.0,57.333333333333336,5952.0,0.745185993678562
